id,name,siruta,country_id/id,zone_id/id,state_id/id
RO_18581,Săpata,18581,base.ro,RO_SM,l10n_ro.RO_AG
RO_18670,"Schitu Goleşti",18670,base.ro,RO_SM,l10n_ro.RO_AG
RO_18741,Slobozia,18741,base.ro,RO_SM,l10n_ro.RO_AG
RO_18778,Stâlpeni,18778,base.ro,RO_SM,l10n_ro.RO_AG
RO_19114,"Ştefan Cel Mare",19114,base.ro,RO_SM,l10n_ro.RO_AG
RO_13392,Ştefăneşti,13392,base.ro,RO_SM,l10n_ro.RO_AG
RO_18858,Stoeneşti,18858,base.ro,RO_SM,l10n_ro.RO_AG
RO_18938,Stolnici,18938,base.ro,RO_SM,l10n_ro.RO_AG
RO_19141,Şuici,19141,base.ro,RO_SM,l10n_ro.RO_AG
RO_19007,Suseni,19007,base.ro,RO_SM,l10n_ro.RO_AG
RO_19212,Teiu,19212,base.ro,RO_SM,l10n_ro.RO_AG
RO_19249,Tigveni,19249,base.ro,RO_SM,l10n_ro.RO_AG
RO_19338,Ţiţeşti,19338,base.ro,RO_SM,l10n_ro.RO_AG
RO_13757,Topoloveni,13757,base.ro,RO_SM,l10n_ro.RO_AG
RO_19392,Uda,19392,base.ro,RO_SM,l10n_ro.RO_AG
RO_19560,Ungheni,19560,base.ro,RO_SM,l10n_ro.RO_AG
RO_19631,"Valea Danului",19631,base.ro,RO_SM,l10n_ro.RO_AG
RO_19695,"Valea Iaşului",19695,base.ro,RO_SM,l10n_ro.RO_AG
RO_13524,"Valea Mare Pravăţ",13524,base.ro,RO_SM,l10n_ro.RO_AG
RO_19793,Vedea,19793,base.ro,RO_SM,l10n_ro.RO_AG
RO_19999,Vlădeşti,19999,base.ro,RO_SM,l10n_ro.RO_AG
RO_20055,Vultureşti,20055,base.ro,RO_SM,l10n_ro.RO_AG
RO_21007,Agăş,21007,base.ro,RO_NE,l10n_ro.RO_BC
RO_21098,Ardeoani,21098,base.ro,RO_NE,l10n_ro.RO_BC
RO_21123,Asău,21123,base.ro,RO_NE,l10n_ro.RO_BC
RO_20297,Bacău,20297,base.ro,RO_NE,l10n_ro.RO_BC
RO_21196,Balcani,21196,base.ro,RO_NE,l10n_ro.RO_BC
RO_21454,Bârsăneşti,21454,base.ro,RO_NE,l10n_ro.RO_BC
RO_21249,Bereşti-Bistriţa,21249,base.ro,RO_NE,l10n_ro.RO_BC
RO_21338,Bereşti-Tazlău,21338,base.ro,RO_NE,l10n_ro.RO_BC
RO_21418,Berzunţi,21418,base.ro,RO_NE,l10n_ro.RO_BC
RO_21506,Blăgeşti,21506,base.ro,RO_NE,l10n_ro.RO_BC
RO_21560,Bogdăneşti,21560,base.ro,RO_NE,l10n_ro.RO_BC
RO_21597,Brusturoasa,21597,base.ro,RO_NE,l10n_ro.RO_BC
RO_26338,Buciumi,26338,base.ro,RO_NE,l10n_ro.RO_BC
RO_21668,Buhoci,21668,base.ro,RO_NE,l10n_ro.RO_BC
RO_20778,Buhuşi,20778,base.ro,RO_NE,l10n_ro.RO_BC
RO_21757,Căiuţi,21757,base.ro,RO_NE,l10n_ro.RO_BC
RO_21720,Caşin,21720,base.ro,RO_NE,l10n_ro.RO_BC
RO_21855,Cleja,21855,base.ro,RO_NE,l10n_ro.RO_BC
RO_21891,Coloneşti,21891,base.ro,RO_NE,l10n_ro.RO_BC
RO_20821,Comăneşti,20821,base.ro,RO_NE,l10n_ro.RO_BC
RO_21971,Corbasca,21971,base.ro,RO_NE,l10n_ro.RO_BC
RO_22059,Coţofăneşti,22059,base.ro,RO_NE,l10n_ro.RO_BC
RO_22111,Dămieneşti,22111,base.ro,RO_NE,l10n_ro.RO_BC
RO_22166,Dărmăneşti,22166,base.ro,RO_NE,l10n_ro.RO_BC
